FROM,TO,Com_Biz,Com_Jtw,Com_Non,Cor_Biz,Cor_Jtw,Cor_Non,Exp_Biz,Exp_Jtw,Exp_Non
BostonMetroManchesterNashuaNH,SpringfieldMAWorcesterMAPittsfieldMA,0,0,0,16378.8087394462,9253.67390881009,74599.4869538514,4161.24469238048,438.108183698551,7338.76572492185
BostonMetroManchesterNashuaNH,WashingtonDCMetro,0,0,0,54181.4577224327,19658.3614469702,193219.856463631,38252.0415759778,2761.85219635119,38177.6173524623
BridgeportStamfordNorwalkCT,AlbanySchenectadyTroyNY,0,0,0,27226.8664844308,23837.5128071905,61344.0678055197,0,0,0
BridgeportStamfordNorwalkCT,AtlanticCityRestofNewJersey,0,0,0,638.840801999794,129.458224528648,736.255244479949,1559.95664820721,33.0111474776283,375.072644553162
BridgeportStamfordNorwalkCT,BaltimoreMetro,0,0,0,49846.0483005098,4028.34177300894,144062.882059552,53011.627154862,893.573426526959,39062.9258000182
BridgeportStamfordNorwalkCT,BostonMetroManchesterNashuaNH,0,0,0,23726.9732324197,61126.1648628822,84876.3651017244,42770.7421461824,27928.26411035,33597.2146543122
BridgeportStamfordNorwalkCT,HarrisburgPALancasterPA,0,0,0,25178.0867605644,49.6356912723176,35686.5444355115,1198.33116383916,0.0404892085863864,111.53147068116
BridgeportStamfordNorwalkCT,HartfordWestEastCT,0,0,0,3653.40285407732,5675.6505723712,11195.7046313325,1151.43173612097,511.454922476542,931.101978645524
BridgeportStamfordNorwalkCT,KingstonNYHudsonNY,0,0,0,8155.394509813,12785.5377297572,34120.4014575292,178.355253448849,6.18753889846609,124.709087333171
BridgeportStamfordNorwalkCT,LancasterPA,0,0,0,11372.9643556049,1670.91830956109,10264.8870811196,479.532293282794,1.09726138160783,34.6937520879671
BridgeportStamfordNorwalkCT,NewCastleDECecilMDSalemNJ,0,0,0,4708.21834273359,910.500763507426,7043.63382680066,6095.49444340303,152.551085265077,1778.47185337483
BridgeportStamfordNorwalkCT,NewHavenMilfordCTLitchfieldCT,0,0,0,522.320193273864,551.954418497016,847.963669795944,74.5165663321411,2.65020181613821,45.0983478736918
BridgeportStamfordNorwalkCT,NewYorkCityNYWestchesterNYLongIsland,0,0,0,43571.8050955715,28281.4263075474,331578.594538287,13503.0642893145,1077.83301661957,7797.48707530776
BridgeportStamfordNorwalkCT,NewarkNJNorthernNewJersey,0,0,0,9238.49380233578,5449.23941435855,34099.8430031544,2421.45204658316,168.460637799443,784.67869952465
BridgeportStamfordNorwalkCT,NorwichNewLondonCTWindhamCT,0,0,0,702.189589822886,870.736739725474,1909.64822176888,247.673863855139,73.706391272093,153.913781040368
BridgeportStamfordNorwalkCT,PhiladelphiaMetroReadingPA,0,0,0,58419.9903564281,14074.3764546263,109337.722930225,23217.874314755,1349.35040001027,9312.15005541945
BridgeportStamfordNorwalkCT,PoughkeepsieNewburgMiddletownNY,0,0,0,3416.39913968673,1058.61142440682,2106.76198169701,35.0188965740674,5.78412963825641,8.06205345868168
BridgeportStamfordNorwalkCT,ProvidenceNewBedfordFallRiverRIMA,0,0,0,9030.61566425217,22226.7077323613,15760.0492922777,6464.12944067965,5837.58062687331,3181.45310287388
BridgeportStamfordNorwalkCT,RichmondMetroVA,0,0,0,-1236329.86311181,1700.76704061086,100026.317345138,15.7861410454575,6.05407710771539e-05,0.314773934804464
BridgeportStamfordNorwalkCT,SpringfieldMAWorcesterMAPittsfieldMA,0,0,0,693.842239011664,1943.6192153298,1450.26471304037,340.342765765403,557.700953737063,189.438479379238
BridgeportStamfordNorwalkCT,WashingtonDCMetro,0,0,0,121459.013055298,29393.1827878389,254125.64282593,262445.881062229,11823.1387346592,90558.7455161707
HarrisburgPALancasterPA,AlbanySchenectadyTroyNY,0,0,0,412.581427670954,0.098591124821364,140.05094986822,0,0,0
HarrisburgPALancasterPA,BaltimoreMetro,0,0,0,29781.7296850735,22999.4099523756,129566.747245648,567.572009199821,28.3223524623461,413.236746212818
HarrisburgPALancasterPA,BostonMetroManchesterNashuaNH,0,0,0,1537.93985265836,16.5227410526414,7106.16725846619,199.712783699323,2.44278711131436e-05,11.0357932064318
HarrisburgPALancasterPA,BridgeportStamfordNorwalkCT,0,0,0,2208.96257637509,8.39771601106103,3075.20434005562,48.8094548959931,0.00287841120342961,8.39355180983985
HarrisburgPALancasterPA,HarrisburgPALancasterPA,0,0,0,3003.72120708007,1978.25015461843,10763.4943798798,0,0,0
HarrisburgPALancasterPA,HartfordWestEastCT,0,0,0,-286.844336358174,326.34857301292,4311.58612152414,101.497176207385,0.000150962133723123,6.12833598653027
HarrisburgPALancasterPA,KingstonNYHudsonNY,0,0,0,226.955626358852,0.085673682783484,92.846515831877,0,0,0
HarrisburgPALancasterPA,LancasterPA,0,0,0,21315.0678193551,12932.2216193075,83228.4568774364,232.132427947629,26.629152592356,430.309113952611
HarrisburgPALancasterPA,NewCastleDECecilMDSalemNJ,0,0,0,17631.470247346,10069.0977877044,34005.840575027,534.291987046299,36.7865650183721,381.765042642887
HarrisburgPALancasterPA,NewHavenMilfordCTLitchfieldCT,0,0,0,9777.38106151062,13.3262080613193,10826.0682334968,69.7263165845079,0.00224930707305802,12.3999129956925
HarrisburgPALancasterPA,NewYorkCityNYWestchesterNYLongIsland,0,0,0,16535.1166313031,2262.4256091583,41594.1577083478,1194.44219901206,3.63350126551843,229.262666902571
HarrisburgPALancasterPA,NorwichNewLondonCTWindhamCT,0,0,0,1338.79246332083,60.7852932108448,2239.1433999683,129.628174983998,0.000129384643889008,13.4698283442697
HarrisburgPALancasterPA,PhiladelphiaMetroReadingPA,0,0,0,43739.6505705711,21829.1843187602,145725.328441201,996.277982864636,57.9590079648541,907.140834854716
